incident_number,external_reference,title,narrative,type_code,severity_code,status_code,source_code,weather_condition_code,primary_station_code,occurrence_at,reported_at,dispatch_at,arrival_at,resolved_at,location_lat,location_lng,location_wkt,location_geohash,address_line_1,address_line_2,city,region,postal_code,casualty_count,responder_injuries,estimated_damage_amount,is_active,metadata
INC-20221207-000001,EXT-23924,Multi-unit dwelling fire,Units dispatched to reported structure fire with visible flames. First arriving engine reported heavy smoke conditions. Primary search conducted with negative results. Fire suppression operations established.,FIRE_STRUCTURE,CRITICAL,RESOLVED,FIRE_ALARM,RAIN,STA-012,2022-12-07T11:23:38.139696+00:00,2022-12-07T11:27:38.139696+00:00,2022-12-07T11:28:38.139696+00:00,2022-12-07T11:34:38.139696+00:00,2022-12-07T13:21:38.139696+00:00,47.606416103479106,-122.23289099879025,POINT(-122.232891 47.606416),c23nfd2x,758 Jennifer Path,,North Cynthiaview,AZ,00965,0,0,436304.9,False,"{""report_channel"":""call"",""triage_level"":""CRITICAL"",""dispatch_console"":""ONOV"",""primary_station"":""STA-012""}"
INC-20250214-000002,EXT-26137,Electrical equipment fire,Response to electrical fire alarm activation. Investigation revealed active fire in field observation. Aggressive interior attack mounted. Fire brought under control within kitchen area minutes.,FIRE_ELECTRICAL,MODERATE,CANCELLED,FIELD_REPORT,CLEAR,STA-003,2025-02-14T04:32:26.139696+00:00,2025-02-14T04:41:26.139696+00:00,2025-02-14T04:45:26.139696+00:00,2025-02-14T04:51:26.139696+00:00,2025-02-14T06:39:26.139696+00:00,47.692704960006516,-122.30766183061694,POINT(-122.307662 47.692705),c23p2f4q,60685 Paul Common Suite 305,,Lake Mark,WI,07832,1,0,18846.85,False,"{""report_channel"":""call"",""triage_level"":""MODERATE"",""dispatch_console"":""RHPH"",""primary_station"":""STA-003""}"
INC-20250728-000003,EXT-01043,Multi-unit dwelling fire,"Initial report of structure fire from property owner source. Upon arrival, crews found active fire involvement. Defensive operations initiated due to building conditions. All exposures protected.",FIRE_STRUCTURE,HIGH,CANCELLED,BUSINESS_OWNER,HEAT,STA-038,2025-07-28T12:38:55.139696+00:00,2025-07-28T12:46:55.139696+00:00,2025-07-28T12:49:55.139696+00:00,2025-07-28T12:57:55.139696+00:00,2025-07-28T15:55:55.139696+00:00,47.489355846833334,-122.37643547643694,POINT(-122.376435 47.489356),c22ypm0j,986 Kimberly Freeway,,Port Anne,CA,73142,2,0,338033.86,False,"{""report_channel"":""mobile"",""triage_level"":""HIGH"",""dispatch_console"":""GMHGD"",""primary_station"":""STA-038""}"
INC-20251007-000004,EXT-54051,Utility structure fire,"Call received for electrical fire with smoke visible. Crews arrived to find well-involved fire. Ladder operations established for roof ventilation. Fire extinguished, no civilian injuries.",FIRE_ELECTRICAL,SEVERE,RESOLVED,BUSINESS_OWNER,SNOW,STA-045,2025-10-07T03:48:36.139696+00:00,2025-10-07T03:50:36.139696+00:00,2025-10-07T03:56:36.139696+00:00,2025-10-07T04:13:36.139696+00:00,2025-10-07T07:13:36.139696+00:00,47.69445441465527,-122.39771181825776,POINT(-122.397712 47.694454),c22zqf88,19520 Payne Via Apt. 772,,Georgemouth,MP,90889,0,0,254865.19,False,"{""report_channel"":""sensor"",""triage_level"":""SEVERE"",""dispatch_console"":""DOXP"",""primary_station"":""STA-045""}"
INC-20250910-000005,EXT-54156,Chemical storage fire,Dispatch for reported industrial fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_INDUSTRIAL,CRITICAL,RESOLVED,BUSINESS_OWNER,CLEAR,STA-045,2025-09-10T00:40:24.139696+00:00,2025-09-10T00:47:24.139696+00:00,2025-09-10T00:50:24.139696+00:00,2025-09-10T00:54:24.139696+00:00,2025-09-10T01:56:24.139696+00:00,47.680036021258495,-122.39826700304978,POINT(-122.398267 47.680036),c22znzbk,765 Tyler Parks Suite 841,,Georgemouth,MP,90889,1,1,377970.19,False,"{""report_channel"":""call"",""triage_level"":""CRITICAL"",""dispatch_console"":""WWZJPF"",""primary_station"":""STA-045""}"
INC-20251019-000006,EXT-54479,Manufacturing plant fire,"Call received for industrial fire with smoke visible. Crews arrived to find well-involved fire. Ladder operations established for roof ventilation. Fire extinguished, no civilian injuries.",FIRE_INDUSTRIAL,MODERATE,RESOLVED,911,SNOW,STA-035,2025-10-19T17:22:22.139696+00:00,2025-10-19T17:32:22.139696+00:00,2025-10-19T17:35:22.139696+00:00,2025-10-19T17:42:22.139696+00:00,2025-10-19T21:33:22.139696+00:00,47.61240597480917,-122.28169568452634,POINT(-122.281696 47.612406),c23nc7t4,75705 Hill Turnpike Apt. 165,,West Kristinaton,OR,48324,0,0,23280.27,False,"{""report_channel"":""mobile"",""triage_level"":""MODERATE"",""dispatch_console"":""PJXHFO"",""primary_station"":""STA-035""}"
INC-20250527-000007,EXT-27557,Transformer fire response,Dispatch for reported electrical fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_ELECTRICAL,CRITICAL,RESOLVED,NEIGHBOR_REPORT,RAIN,STA-045,2025-05-27T14:28:00.139696+00:00,2025-05-27T14:32:00.139696+00:00,2025-05-27T14:32:00.139696+00:00,2025-05-27T14:35:00.139696+00:00,2025-05-27T16:04:00.139696+00:00,47.6734754947024,-122.39643994104154,POINT(-122.396440 47.673475),c22zny9w,285 Edwards Harbors,,Georgemouth,MP,90889,0,0,125210.44,False,"{""report_channel"":""call"",""triage_level"":""CRITICAL"",""dispatch_console"":""XBJA"",""primary_station"":""STA-045""}"
INC-20241128-000008,EXT-31217,Grassland fire response,Response to wildland fire alarm activation. Investigation revealed active fire in field observation. Aggressive interior attack mounted. Fire brought under control within first floor minutes.,FIRE_WILDLAND,LOW,RESOLVED,FIELD_REPORT,WIND,STA-018,2024-11-28T04:34:14.139696+00:00,2024-11-28T04:43:14.139696+00:00,2024-11-28T04:45:14.139696+00:00,2024-11-28T04:58:14.139696+00:00,2024-11-28T08:46:14.139696+00:00,47.548244093020514,-122.31279449027586,POINT(-122.312794 47.548244),c23n2xys,715 Mckinney Plaza,,East Edwardfurt,UT,20529,0,0,0.0,False,"{""report_channel"":""call"",""triage_level"":""LOW"",""dispatch_console"":""PPIKKJ"",""primary_station"":""STA-018""}"
INC-20250729-000009,EXT-85289,Car fire with exposure risk,Units dispatched to reported vehicle fire with visible flames. First arriving engine reported heavy smoke conditions. Primary search conducted with negative results. Fire suppression operations established.,FIRE_VEHICLE,CRITICAL,RESOLVED,SECURITY,HEAT,STA-006,2025-07-29T23:15:20.139696+00:00,2025-07-29T23:20:20.139696+00:00,2025-07-29T23:23:20.139696+00:00,2025-07-29T23:43:20.139696+00:00,2025-07-30T02:08:20.139696+00:00,47.644373645335776,-122.30528703403523,POINT(-122.305287 47.644374),c23p0ckh,68018 Kevin Estates,,East Donna,OH,22144,0,0,156778.38,False,"{""report_channel"":""sensor"",""triage_level"":""CRITICAL"",""dispatch_console"":""WLXAO"",""primary_station"":""STA-006""}"
INC-20250821-000010,EXT-92299,Chemical storage fire,"Call received for industrial fire with smoke visible. Crews arrived to find well-involved fire. Ladder operations established for roof ventilation. Fire extinguished, no civilian injuries.",FIRE_INDUSTRIAL,CRITICAL,RESOLVED,FIELD_REPORT,RAIN,STA-004,2025-08-21T16:41:39.139696+00:00,2025-08-21T16:41:39.139696+00:00,2025-08-21T16:45:39.139696+00:00,2025-08-21T16:57:39.139696+00:00,2025-08-21T19:07:39.139696+00:00,47.586249932359166,-122.238597574399,POINT(-122.238598 47.586250),c23ndqu9,001 Stacy Trail Suite 396,,Coxberg,NY,65187,1,0,411947.24,False,"{""report_channel"":""sensor"",""triage_level"":""CRITICAL"",""dispatch_console"":""HZGPXZ"",""primary_station"":""STA-004""}"
